"年別","月份","國家名稱","","1-9歲","10-19歲","20-29歲","30-39歲","40-49歲","50-59歲","60歲以上","小計"
"Years","Months","","Countries","1-9Years","10-19Years","20-29Years","30-39Years","40-49Years","50-59Years","60Years and Over","Subtotals"
"98","1","日本","Japan","1693","2280","8711","14540","12885","13325","16685","70119"
"98","1","韓國","Korea","384","1526","2580","3398","3591","2954","1624","16057"
"98","1","北韓","Democratic People's Republic of Korea","0","0","0","0","0","0","0","0"
"98","1","香港","Hong Kong","1606","3183","10334","10196","9746","5999","3376","44440"
"98","1","中國大陸","Mainland China","1655","2611","9706","11837","8838","5179","4169","43995"
"98","1","澳門","Macao","79","263","717","310","312","262","162","2105"
"98","1","蒙古","Mongolia","5","9","32","14","10","6","4","80"
"98","1","越南","Vietnam","144","151","1474","944","444","301","140","3598"
"98","1","泰國","Thailand","76","80","688","1525","848","365","212","3794"
"98","1","馬來西亞","Malaysia","448","936","1966","2387","1928","1384","747","9796"
"98","1","新加坡","Singapore","315","605","1695","2288","2142","1690","787","9522"
"98","1","菲律賓","Philippines","57","65","1009","1887","989","474","305","4786"
"98","1","汶萊","Brunei","1","1","10","6","12","19","10","59"
"98","1","印尼","Indonesia","81","103","3262","2641","625","392","243","7347"
"98","1","柬埔寨","Cambodia","0","1","41","9","5","9","6","71"
"98","1","寮國","Laos","1","0","1","2","0","0","1","5"
"98","1","帝汶","Timor","1","0","1","0","4","2","2","10"
"98","1","緬甸","Myanmar","1","2","43","65","30","23","27","191"
"98","1","索羅門群島","Solomon Islands","1","3","0","1","4","0","0","9"
"98","1","吐瓦魯","Tuvalu","0","0","0","0","0","0","0","0"
"98","1","印度","India","22","27","169","362","247","137","64","1028"
"98","1","巴基斯坦","Pakistan","3","1","1","17","9","5","3","39"
"98","1","斯里蘭卡","Sri Lanka","0","0","3","2","5","3","3","16"
"98","1","孟加拉","Bangladesh","0","0","2","15","9","0","2","28"
"98","1","尼泊爾","Nepal","0","0","6","41","27","7","2","83"
"98","1","不丹","Bhutan ","0","0","0","12","9","0","0","21"
"98","1","馬爾地夫","Maldives","0","0","0","0","0","0","0","0"
"98","1","塞席爾","Seychelles","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯","Kiribati","1","0","0","0","2","0","1","4"
"98","1","伊朗","Iran","0","0","0","12","17","6","3","38"
"98","1","伊拉克","Iraq","0","0","1","7","5","1","0","14"
"98","1","巴林","Bahrain","0","0","2","1","2","0","0","5"
"98","1","南葉門","South Yemen","0","0","0","0","0","0","0","0"
"98","1","沙烏地阿拉伯","Saudi Arabia","0","0","2","5","8","5","2","22"
"98","1","科威特","Kuwait","0","0","0","0","2","1","1","4"
"98","1","卡達","Qatar","0","0","0","1","1","0","0","2"
"98","1","阿曼","Oman","0","0","0","2","3","2","1","8"
"98","1","以色列","Israel","2","1","18","97","82","53","32","285"
"98","1","約旦","Jordan","0","0","6","11","7","2","3","29"
"98","1","敘利亞","Syria","0","0","1","4","5","5","1","16"
"98","1","黎巴嫩","Lebanon","0","0","3","4","6","3","1","17"
"98","1","阿拉伯聯合大公國","United Arab Emirates","0","0","4","9","16","6","3","38"
"98","1","葉門","Yemen","0","0","0","0","0","0","0","0"
"98","1","土耳其","TURKEY","3","1","26","38","28","8","1","105"
"98","1","賽普勒斯","Cyprus","0","0","2","2","2","0","0","6"
"98","1","阿富汗(觀光)","Afghanistan","0","0","2","2","2","1","0","7"
"98","1","埃及","Egypt","0","0","3","8","5","4","1","21"
"98","1","摩洛哥","Morocco","0","0","2","3","2","0","1","8"
"98","1","阿爾及利亞","Algeria","0","1","2","0","6","1","0","10"
"98","1","突尼西亞","Tunisia","0","0","2","1","3","1","1","8"
"98","1","利比亞","Libya
","0","0","0","3","5","1","0","9"
"98","1","蘇丹","Sudan","0","0","0","0","1","0","0","1"
"98","1","索馬利亞","Somalia","0","0","0","0","0","0","0","0"
"98","1","南非","S. Africa","17","16","100","114","64","30","26","367"
"98","1","象牙海岸","Cote D'ivoire","0","0","0","2","0","0","0","2"
"98","1","奈及利亞","Nigeria","0","0","3","6","11","5","0","25"
"98","1","賴比瑞亞","Liberia","0","0","0","0","0","0","0","0"
"98","1","幾內亞","Guinea","0","0","0","0","0","0","0","0"
"98","1","安哥拉","Angola","0","0","0","2","0","0","0","2"
"98","1","剛果共和國","Congo","0","0","0","1","1","0","0","2"
"98","1","中非共和國","Central African","0","0","0","0","0","0","0","0"
"98","1","波札那","Botswana","0","0","0","0","0","0","0","0"
"98","1","喀麥隆","Cameroon","0","0","0","0","0","0","0","0"
"98","1","查德","Chad","0","0","0","0","0","0","0","0"
"98","1","衣索匹亞","Ethiopia","0","0","0","0","0","0","0","0"
"98","1","加彭","Gabon","0","0","1","1","0","0","0","2"
"98","1","甘比亞","Gambia","1","0","8","3","2","0","0","14"
"98","1","迦納","Ghana","0","0","0","0","1","0","0","1"
"98","1","肯亞","Kenya","2","0","1","0","1","1","0","5"
"98","1","賴索托","Lesotho","0","0","0","0","0","0","0","0"
"98","1","馬拉加西","Madagascar","0","0","0","0","0","0","0","0"
"98","1","模里西斯","Mauritius","0","0","1","3","2","2","2","10"
"98","1","馬利","Mali","0","0","1","1","1","0","0","3"
"98","1","馬拉威","Malawi","0","0","1","0","1","0","0","2"
"98","1","莫三鼻克","Mozambique","0","0","0","2","0","0","0","2"
"98","1","尼日","Niger","0","0","0","0","1","0","0","1"
"98","1","盧安達","Rwanda","0","0","0","0","0","0","0","0"
"98","1","塞內加爾","Senegal","0","0","0","2","0","0","0","2"
"98","1","獅子山","Sierra Leone","0","0","0","0","0","0","0","0"
"98","1","坦桑尼亞","Tanzania","0","0","1","0","0","0","0","1"
"98","1","烏干達","Uganda","0","0","0","0","2","0","0","2"
"98","1","尚比亞","Zambia","0","0","0","1","0","0","0","1"
"98","1","多哥","Togolese Republic","0","0","0","0","0","0","0","0"
"98","1","辛巴威","Zimbabwe","0","0","2","5","3","1","0","11"
"98","1","史瓦濟蘭","Swaziland","0","0","2","2","0","0","0","4"
"98","1","布吉納法索","Burkina Faso","0","0","0","4","3","4","0","11"
"98","1","貝南","Benin","0","0","1","1","1","0","0","3"
"98","1","赤道幾內亞","Equatorial Guinea","0","0","0","0","0","0","0","0"
"98","1","維德角島","Cape Verde","0","0","0","0","0","0","0","0"
"98","1","吉布地","Djibouti","0","0","0","0","0","0","0","0"
"98","1","西撒哈拉","Saharaui","0","0","0","0","0","0","0","0"
"98","1","幾內亞比索","Guinea Bissau","0","0","0","0","0","0","0","0"
"98","1","葛摩","Comoros","0","0","0","0","0","0","0","0"
"98","1","留尼旺","Reunion","0","1","0","0","0","1","0","2"
"98","1","聖多美及普林西比","Sao Tome & Principe","0","0","0","0","0","0","0","0"
"98","1","美國","United States of America","2471","1267","4203","4918","5017","6021","3822","27719"
"98","1","加拿大","Canada","355","316","1126","1390","857","947","692","5683"
"98","1","百慕達","Bermuda","0","0","0","0","0","0","0","0"
"98","1","墨西哥","Mexico","2","2","21","29","21","13","3","91"
"98","1","巴拿馬","Panama","0","66","17","2","2","2","0","89"
"98","1","巴貝多","Barbados","0","0","2","0","0","1","0","3"
"98","1","巴哈馬","Bahamas","0","1","0","0","1","2","0","4"
"98","1","古巴","Cuba","0","0","0","0","0","1","0","1"
"98","1","哥斯達黎加","Costa Rica","3","10","10","13","6","8","3","53"
"98","1","多明尼加","Dominican Rep.","0","0","2","4","4","1","2","13"
"98","1","瓜地馬拉","Guatemala","1","1","5","2","4","3","1","17"
"98","1","宏都拉斯","Honduras","0","1","4","1","2","0","1","9"
"98","1","海地","Haiti","0","0","2","1","0","0","0","3"
"98","1","牙買加","Jamaica","1","0","0","0","0","1","0","2"
"98","1","尼加拉瓜","Nicaragua","0","1","7","3","0","2","0","13"
"98","1","薩爾瓦多","El Salvador","1","1","10","2","2","1","0","17"
"98","1","千里達及托貝哥","Trinidad","0","0","2","1","0","2","0","5"
"98","1","聖文森","Saint Vincent","0","0","0","0","0","0","0","0"
"98","1","貝里斯","Belize","0","0","3","0","0","0","0","3"
"98","1","格瑞那達","Grenada","0","0","0","0","1","0","0","1"
"98","1","聖露西亞","Saint Lucia","0","0","0","0","0","0","0","0"
"98","1","聖克里斯多福","St. Christopher","0","0","0","0","1","0","0","1"
"98","1","阿根廷","Argentina","7","13","6","15","8","1","2","52"
"98","1","巴西","Brazil","40","65","100","52","48","31","18","354"
"98","1","智利","Chile","8","14","6","16","7","4","5","60"
"98","1","委內瑞拉","Venezuela","1","2","9","4","3","2","1","22"
"98","1","玻利維亞","Bolivia","0","3","2","4","0","0","0","9"
"98","1","哥倫比亞","Colombia","0","2","10","5","4","3","0","24"
"98","1","厄瓜多爾","Ecuador","2","2","1","4","2","1","0","12"
"98","1","巴拉圭","Paraguay","2","9","7","5","6","8","6","43"
"98","1","秘魯","Peru","0","11","7","3","3","4","4","32"
"98","1","烏拉圭","Uruguay","0","0","0","0","2","1","0","3"
"98","1","蘇利南","Suriname","0","0","0","0","1","0","0","1"
"98","1","蓋亞納","Guyana","0","0","0","0","0","0","0","0"
"98","1","澳洲","Australia","394","614","1367","1047","841","816","389","5468"
"98","1","紐西蘭","New Zealand","73","99","229","225","120","118","58","922"
"98","1","裴濟","Fiji","1","0","2","2","1","0","1","7"
"98","1","諾魯","Nauru","0","0","1","5","2","10","11","29"
"98","1","帛琉","Palau","0","2","1","0","1","0","0","4"
"98","1","東加","Tonga","0","1","1","1","1","0","0","4"
"98","1","巴布亞新幾內亞","Papua New Guinea","1","0","1","3","1","1","0","7"
"98","1","萬那杜","Vanuatu","0","0","0","0","0","1","3","4"
"98","1","馬紹爾","Marshall","0","1","1","0","0","0","2","4"
"98","1","大溪地","Tahiti","0","4","3","3","4","2","2","18"
"98","1","密克羅尼西亞","Micronesian","0","0","0","1","0","0","0","1"
"98","1","比利時","Belgium","13","6","44","69","72","48","26","278"
"98","1","法國","France","114","51","313","396","379","267","129","1649"
"98","1","德國","Germany","84","44","235","585","752","441","200","2341"
"98","1","義大利","Italy","13","2","76","201","169","100","57","618"
"98","1","荷蘭","Netherlands","31","15","124","169","198","112","94","743"
"98","1","英國","U.K.","135","144","469","694","747","688","372","3249"
"98","1","西班牙","Spain","13","5","37","87","63","38","36","279"
"98","1","瑞典","Sweden","31","18","59","119","95","88","39","449"
"98","1","瑞士","Switzerland","28","8","45","117","102","70","39","409"
"98","1","挪威","Norway","4","3","10","32","26","17","9","101"
"98","1","丹麥","Denmark","13","10","39","65","94","25","35","281"
"98","1","愛爾蘭","Ireland","10","11","40","52","46","23","18","200"
"98","1","冰島","Iceland","0","1","0","1","2","5","3","12"
"98","1","葡萄牙","Portugal","12","78","106","108","164","89","34","591"
