"年別","月份","國家名稱","","商人","秘書職員","專門技術","文化工作","家管退休","軍公職","其他職業","小計"
"Years","Months","","Countries","Merchant","Secretary and Clerk","Technical Personnel","Cultural Personnel","Housewife and Retiree","Military and Gov't","Others","Subtotals"
"98","1","日本","Japan","5957","28216","1344","5319","9164","1158","18961","70119"
"98","1","韓國","Korea","2572","2105","603","3613","1530","108","5526","16057"
"98","1","北韓","Democratic People's Republic of Korea","0","0","0","0","0","0","0","0"
"98","1","香港","Hong Kong","6392","5486","1161","5323","3042","211","22825","44440"
"98","1","中國大陸","Mainland China","4290","4669","462","2459","2476","62","29577","43995"
"98","1","澳門","Macao","174","232","68","489","106","25","1011","2105"
"98","1","蒙古","Mongolia","3","7","2","29","4","0","35","80"
"98","1","越南","Vietnam","148","89","145","121","676","20","2399","3598"
"98","1","泰國","Thailand","441","673","150","193","168","47","2122","3794"
"98","1","馬來西亞","Malaysia","2291","700","469","1424","1065","21","3826","9796"
"98","1","新加坡","Singapore","2593","790","630","1048","744","426","3291","9522"
"98","1","菲律賓","Philippines","407","292","743","209","383","10","2742","4786"
"98","1","汶萊","Brunei","20","6","2","4","18","1","8","59"
"98","1","印尼","Indonesia","331","171","732","247","600","9","5257","7347"
"98","1","柬埔寨","Cambodia","8","11","0","11","13","0","28","71"
"98","1","寮國","Laos","1","1","0","0","0","0","3","5"
"98","1","帝汶","Timor","0","5","0","0","2","0","3","10"
"98","1","緬甸","Myanmar","22","4","42","38","6","0","79","191"
"98","1","索羅門群島","Solomon Islands","0","1","0","2","2","0","4","9"
"98","1","吐瓦魯","Tuvalu","0","0","0","0","0","0","0","0"
"98","1","印度","India","298","72","153","84","54","23","344","1028"
"98","1","巴基斯坦","Pakistan","21","2","1","3","2","2","8","39"
"98","1","斯里蘭卡","Sri Lanka","3","1","3","1","2","0","6","16"
"98","1","孟加拉","Bangladesh","18","0","3","2","0","0","5","28"
"98","1","尼泊爾","Nepal","7","1","1","33","3","2","36","83"
"98","1","不丹","Bhutan ","0","2","0","12","1","0","6","21"
"98","1","馬爾地夫","Maldives","0","0","0","0","0","0","0","0"
"98","1","塞席爾","Seychelles","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯","Kiribati","0","1","0","0","1","0","2","4"
"98","1","伊朗","Iran","18","0","2","2","1","0","15","38"
"98","1","伊拉克","Iraq","6","1","2","0","1","0","4","14"
"98","1","巴林","Bahrain","1","2","1","0","0","0","1","5"
"98","1","南葉門","South Yemen","0","0","0","0","0","0","0","0"
"98","1","沙烏地阿拉伯","Saudi Arabia","7","1","1","0","1","0","12","22"
"98","1","科威特","Kuwait","3","0","0","0","0","0","1","4"
"98","1","卡達","Qatar","2","0","0","0","0","0","0","2"
"98","1","阿曼","Oman","2","1","0","0","1","1","3","8"
"98","1","以色列","Israel","78","8","87","5","4","0","103","285"
"98","1","約旦","Jordan","14","2","0","3","1","0","9","29"
"98","1","敘利亞","Syria","6","0","1","0","0","0","9","16"
"98","1","黎巴嫩","Lebanon","10","2","1","0","0","0","4","17"
"98","1","阿拉伯聯合大公國","United Arab Emirates","24","2","6","0","0","1","5","38"
"98","1","葉門","Yemen","0","0","0","0","0","0","0","0"
"98","1","土耳其","TURKEY","29","3","15","14","2","1","41","105"
"98","1","賽普勒斯","Cyprus","2","0","1","1","1","0","1","6"
"98","1","阿富汗(觀光)","Afghanistan","1","1","0","0","0","0","5","7"
"98","1","埃及","Egypt","4","1","5","2","0","0","9","21"
"98","1","摩洛哥","Morocco","4","0","0","3","0","0","1","8"
"98","1","阿爾及利亞","Algeria","3","3","0","0","0","0","4","10"
"98","1","突尼西亞","Tunisia","3","2","0","1","1","0","1","8"
"98","1","利比亞","Libya
","5","0","1","0","0","1","2","9"
"98","1","蘇丹","Sudan","0","0","0","0","0","0","1","1"
"98","1","索馬利亞","Somalia","0","0","0","0","0","0","0","0"
"98","1","南非","S. Africa","48","23","12","162","17","0","105","367"
"98","1","象牙海岸","Cote D'ivoire","0","0","0","1","0","0","1","2"
"98","1","奈及利亞","Nigeria","12","2","1","3","0","3","4","25"
"98","1","賴比瑞亞","Liberia","0","0","0","0","0","0","0","0"
"98","1","幾內亞","Guinea","0","0","0","0","0","0","0","0"
"98","1","安哥拉","Angola","0","0","0","1","0","0","1","2"
"98","1","剛果共和國","Congo","0","0","1","1","0","0","0","2"
"98","1","中非共和國","Central African","0","0","0","0","0","0","0","0"
"98","1","波札那","Botswana","0","0","0","0","0","0","0","0"
"98","1","喀麥隆","Cameroon","0","0","0","0","0","0","0","0"
"98","1","查德","Chad","0","0","0","0","0","0","0","0"
"98","1","衣索匹亞","Ethiopia","0","0","0","0","0","0","0","0"
"98","1","加彭","Gabon","2","0","0","0","0","0","0","2"
"98","1","甘比亞","Gambia","5","0","0","6","0","0","3","14"
"98","1","迦納","Ghana","1","0","0","0","0","0","0","1"
"98","1","肯亞","Kenya","0","0","0","1","0","0","4","5"
"98","1","賴索托","Lesotho","0","0","0","0","0","0","0","0"
