"年別","月份","國家名稱","業務","觀光","探親","會議","求學","展覽","醫療","其他","小計"
"Years","Months","Countries","Business","Leisure","Visit Relatives","Conference","Study","Exhibition","Medical Treatment","Others","Subtotals"
"98","1","日本(Japan)","16188","44090","3427","303","274","0","0","5837","70119"
"98","1","韓國(Korea)","3113","8350","2018","225","306","0","0","2045","16057"
"98","1","北韓(Democratic People's Republic of Korea)","0","0","0","0","0","0","0","0","0"
"98","1","香港(Hong Kong)","4027","32946","3402","299","76","0","0","3690","44440"
"98","1","中國大陸(Mainland China)","2908","19420","8665","482","26","0","0","12494","43995"
"98","1","澳門(Macao)","94","1417","225","10","81","0","0","278","2105"
"98","1","蒙古(Mongolia)","11","15","11","0","12","0","0","31","80"
"98","1","越南(Vietnam)","334","207","1181","31","88","0","0","1757","3598"
"98","1","泰國(Thailand)","515","407","774","49","51","0","0","1998","3794"
"98","1","馬來西亞(Malaysia)","1114","6222","1286","131","108","0","0","935","9796"
"98","1","新加坡(Singapore)","2264","4870","1105","161","57","0","0","1065","9522"
"98","1","菲律賓(Philippines)","1042","408","618","92","43","0","0","2583","4786"
"98","1","汶萊(Brunei)","1","44","8","0","0","0","0","6","59"
"98","1","印尼(Indonesia)","461","623","485","38","51","0","0","5689","7347"
"98","1","柬埔寨(Cambodia)","8","4","22","0","10","0","0","27","71"
"98","1","寮國(Laos)","0","1","1","0","0","0","0","3","5"
"98","1","帝汶(Timor)","6","3","0","0","0","0","0","1","10"
"98","1","緬甸(Myanmar)","30","8","33","17","11","0","0","92","191"
"98","1","索羅門群島(Solomon Islands)","2","0","4","0","0","0","0","3","9"
"98","1","吐瓦魯(Tuvalu)","0","0","0","0","0","0","0","0","0"
"98","1","印度(India)","569","52","131","17","27","0","0","232","1028"
"98","1","巴基斯坦(Pakistan)","24","4","3","0","0","0","0","8","39"
"98","1","斯里蘭卡(Sri Lanka)","8","2","0","4","1","0","0","1","16"
"98","1","孟加拉(Bangladesh)","17","1","4","2","1","0","0","3","28"
"98","1","尼泊爾(Nepal)","8","4","13","6","0","0","0","52","83"
"98","1","不丹(Bhutan )","0","0","6","0","0","0","0","15","21"
"98","1","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0","0"
"98","1","塞席爾(Seychelles)","0","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯(Kiribati)","0","0","2","0","0","0","0","2","4"
"98","1","伊朗(Iran)","25","2","5","0","0","0","0","6","38"
"98","1","伊拉克(Iraq)","10","2","0","0","0","0","0","2","14"
"98","1","巴林(Bahrain)","3","0","1","0","0","0","0","1","5"
"98","1","南葉門(South Yemen)","0","0","0","0","0","0","0","0","0"
