"年別","月份","日本","韓國","北韓","香港","中國大陸","澳門","蒙古","越南","泰國","馬來西亞","新加坡","菲律賓","汶萊","印尼","柬埔寨","寮國","帝汶","緬甸","索羅門群島","吐瓦魯","印度","巴基斯坦","斯里蘭卡","孟加拉","尼泊爾","不丹","馬爾地夫","塞席爾","吉里巴斯","伊朗","伊拉克","巴林","南葉門","沙烏地阿拉伯","科威特","卡達","阿曼","以色列","約旦","敘利亞","黎巴嫩","阿拉伯聯合大公國","葉門","土耳其","賽普勒斯","阿富汗(觀光)","埃及","摩洛哥","阿爾及利亞","突尼西亞","利比亞","蘇丹","索馬利亞","南非","象牙海岸","奈及利亞","賴比瑞亞","幾內亞","安哥拉","剛果共和國","中非共和國","波札那","喀麥隆","查德","衣索匹亞","加彭","甘比亞","迦納","肯亞","賴索托","馬拉加西","模里西斯","馬利","馬拉威","莫三鼻克","尼日","盧安達","塞內加爾","獅子山","坦桑尼亞","烏干達","尚比亞","多哥","辛巴威","史瓦濟蘭","布吉納法索","貝南","赤道幾內亞","維德角島","吉布地","西撒哈拉","幾內亞比索","葛摩","留尼旺","聖多美及普林西比","美國","加拿大","百慕達","墨西哥","巴拿馬","巴貝多","巴哈馬","古巴","哥斯達黎加","多明尼加","瓜地馬拉","宏都拉斯","海地","牙買加","尼加拉瓜","薩爾瓦多","千里達及托貝哥","聖文森","貝里斯","格瑞那達","聖露西亞","聖克里斯多福","阿根廷","巴西","智利","委內瑞拉","玻利維亞","哥倫比亞","厄瓜多爾","巴拉圭","秘魯","烏拉圭","蘇利南","蓋亞納","澳洲","紐西蘭","裴濟","諾魯","帛琉","東加","巴布亞新幾內亞","萬那杜","馬紹爾","大溪地","密克羅尼西亞","比利時","法國","德國","義大利","荷蘭","英國","西班牙","瑞典","瑞士","挪威","丹麥","愛爾蘭","冰島","葡萄牙","芬蘭","奧地利","南斯拉夫","希臘","馬爾他","盧森堡","摩納哥","安道爾","列支敦斯登","白俄羅斯","烏克蘭","教廷","克羅埃西亞","波士尼亞","愛沙尼亞","立陶宛","拉脫維亞","馬其頓","斯洛凡尼亞","斯洛伐克","俄羅斯","東德","波蘭","捷克","匈牙利","阿爾巴尼亞","羅馬尼亞","保加利亞","摩爾多瓦","聖馬利諾"
"Year","Month","Japan","Korea","Democratic People's Republic of Korea","Hong Kong","Mainland China","Macao","Mongolia","Vietnam","Thailand","Malaysia","Singapore","Philippines","Brunei","Indonesia","Cambodia","Laos","Timor","Myanmar","Solomon Islands","Tuvalu","India","Pakistan","Sri Lanka","Bangladesh","Nepal","Bhutan ","Maldives","Seychelles","Kiribati","Iran","Iraq","Bahrain","South Yemen","Saudi Arabia","Kuwait","Qatar","Oman","Israel","Jordan","Syria","Lebanon","United Arab Emirates","Yemen","TURKEY","Cyprus","Afghanistan","Egypt","Morocco","Algeria","Tunisia","Libya
","Sudan","Somalia","S. Africa","Cote D'ivoire","Nigeria","Liberia","Guinea","Angola","Congo","Central African","Botswana","Cameroon","Chad","Ethiopia","Gabon","Gambia","Ghana","Kenya","Lesotho","Madagascar","Mauritius","Mali","Malawi","Mozambique","Niger","Rwanda","Senegal","Sierra Leone","Tanzania","Uganda","Zambia","Togolese Republic","Zimbabwe","Swaziland","Burkina Faso","Benin","Equatorial Guinea","Cape Verde","Djibouti","Saharaui","Guinea Bissau","Comoros","Reunion","Sao Tome & Principe","United States of America","Canada","Bermuda","Mexico","Panama","Barbados","Bahamas","Cuba","Costa Rica","Dominican Rep.","Guatemala","Honduras","Haiti","Jamaica","Nicaragua","El Salvador","Trinidad","Saint Vincent","Belize","Grenada","Saint Lucia","St. Christopher","Argentina","Brazil","Chile","Venezuela","Bolivia","Colombia","Ecuador","Paraguay","Peru","Uruguay","Suriname","Guyana","Australia","New Zealand","Fiji","Nauru","Palau","Tonga","Papua New Guinea","Vanuatu","Marshall","Tahiti","Micronesian","Belgium","France","Germany","Italy","Netherlands","U.K.","Spain","Sweden","Switzerland","Norway","Denmark","Ireland","Iceland","Portugal","Finland","Austria","Yugoslavia","Greece","Malta","Luxembourg","Monaco","Andorra","Liechtenstein","Belarus","Ukraine ","Holy See","Croatia","Bosnia","Estonia","Lithuania","Latvia","Macedonia","Slovenia","Slovakia","Russian Federation","German Democratic","Poland","Czech","Hungary","Albania","Romania","Bulgaria","Moldova","San Marino"
"98","1","70119","16057","0","44440","43995","2105","80","3598","3794","9796","9522","4786","59","7347","71","5","10","191","9","0","1028","39","16","28","83","21","0","0","4","38","14","5","0","22","4","2","8","285","29","16","17","38","0","105","6","7","21","8","10","8","9","1","0","367","2","25","0","0","2","2","0","0","0","0","0","2","14","1","5","0","0","10","3","2","2","1","0","2","0","1","2","1","0","11","4","11","3","0","0","0","0","0","0","2","0","27719","5683","0","91","89","3","4","1","53","13","17","9","3","2","13","17","5","0","3","1","0","1","52","354","60","22","9","24","12","43","32","3","1","0","5468","922","7","29","4","4","7","4","4","18","1","278","1649","2341","618","743","3249","279","449","409","101","281","200","12","591","117","355","1","71","6","29","5","0","4","36","68","1","25","0","4","11","3","1","12","75","207","0","152","230","78","0","56","15","0","0"
"98","2","99424","16897","6","38241","42248","4970","148","6819","6195","11289","9918","5097","40","9594","65","5","16","343","13","13","1348","55","18","34","58","17","1","0","5","91","17","1","0","35","8","3","6","366","46","16","19","35","0","143","9","7","54","11","4","8","10","4","0","445","2","17","1","4","1","1","0","0","0","0","6","0","13","5","12","0","0","8","0","1","1","0","0","1","1","2","5","0","1","3","8","7","0","0","0","0","0","0","0","0","3","22055","4226","0","114","24","2","5","0","30","20","33","53","3","0","23","21","1","4","17","1","3","10","45","190","52","14","20","34","7","42","26","2","2","0","3838","530","8","37","23","0","0","0","17","7","0","253","1729","2764","814","772","3054","273","444","456","162","270","162","14","466","161","386","0","82","8","29","1","0","2","15","62","1","33","1","16","21","15","3","27","66","282","0","174","212","51","4","27","10","6","1"
"98","3","105350","14458","14","54581","87002","2490","73","4799","6789","12900","17983","5646","112","8298","49","5","11","197","1","0","1658","94","65","85","63","28","1","0","17","131","24","6","1","91","15","6","10","456","49","22","33","49","3","297","7","12","85","15","18","7","10","2","0","342","3","41","0","2","0","5","0","0","0","0","5","0","18","7","16","0","0","14","1","1","2","0","0","0","0","3","5","2","1","2","5","28","1","0","0","0","0","0","0","0","1","29714","5707","1","155","17","1","8","0","56","36","32","33","2","1","15","17","9","4","12","0","5","7","71","422","82","33","8","56","14","20","39","7","1","5","4619","745","10","40","17","5","3","3","4","19","6","406","2257","4499","1306","1175","4881","532","574","688","214","388","155","26","684","234","464","4","115","12","32","7","0","7","27","66","1","38","2","15","16","19","8","54","68","565","0","267","218","85","3","41","60","4","1"
"98","4","79311","13294","0","84649","131464","3346","109","4597","8083","12309","18105","7650","64","8303","95","2","5","150","1","8","1471","61","38","43","69","25","1","1","5","130","29","11","1","91","11","6","18","309","73","26","42","75","0","226","10","16","141","36","19","19","28","11","0","298","4","96","0","3","1","3","0","0","0","0","10","0","35","2","86","0","2","15","0","1","3","0","0","0","1","7","3","1","0","2","17","4","0","0","0","0","0","0","0","0","4","31779","5604","0","309","35","0","4","0","48","40","49","19","10","7","10","12","22","3","7","0","1","3","89","285","48","56","6","65","19","19","35","11","3","0","5319","657","4","24","6","0","1","1","10","8","0","461","2756","3624","1062","910","5649","637","502","570","176","283","160","20","884","170","418","3","112","6","37","3","1","2","24","82","0","14","2","10","17","4","5","23","62","416","0","203","220","67","7","45","31","3","4"
"98","5","69022","14163","19","59919","110244","2422","92","4424","5225","8694","13805","6105","48","7586","70","20","10","174","14","0","1427","55","14","62","77","44","2","0","2","109","15","6","1","78","19","8","6","397","69","17","19","55","6","143","13","11","64","11","15","8","9","4","0","254","1","34","0","0","1","2","0","1","0","0","5","1","6","6","10","0","4","26","5","0","1","0","0","2","0","5","1","0","0","2","2","14","0","1","0","0","0","0","0","0","2","28729","4744","0","54","36","0","1","0","30","20","30","29","14","1","9","6","5","1","7","0","1","3","49","234","86","32","11","60","14","24","31","2","2","1","3590","615","5","15","2","5","7","1","4","2","1","287","1824","2703","966","753","3161","328","381","490","124","230","115","15","654","177","299","2","98","6","19","5","0","3","24","71","3","55","0","30","6","18","3","46","68","251","0","172","179","144","3","45","46","2","0"
"98","6","61728","13327","4","57461","57472","4307","114","5179","5983","8941","16668","7346","63","9321","61","8","11","236","5","3","1743","61","35","88","55","19","6","0","3","216","13","3","0","101","10","3","13","419","86","35","18","98","0","221","11","20","69","13","12","8","4","2","0","255","1","70","1","0","0","0","0","0","1","0","0","0","4","4","12","0","0","11","2","0","2","1","0","2","0","4","0","0","1","5","2","6","1","0","0","0","0","0","0","0","4","35292","3611","0","94","44","0","1","14","33","15","37","62","1","1","13","31","4","5","14","1","6","4","73","306","71","30","26","56","12","33","41","4","0","0","4285","531","12","24","15","1","5","0","7","4","3","444","2152","3203","1380","863","3624","559","431","559","140","239","146","20","663","149","346","2","147","12","24","1","1","3","42","107","1","27","1","10","8","17","2","29","46","539","0","203","157","99","2","54","31","1","0"
"98","7","72655","14367","2","64003","70157","2895","58","5002","5693","8834","10388","6170","48","8936","56","8","2","270","5","14","1595","94","38","56","98","27","4","0","5","130","19","2","0","144","14","6","22","356","99","14","28","49","1","146","6","7","113","6","9","4","2","11","0","423","3","21","2","0","1","2","0","0","1","0","2","0","18","0","16","0","0","7","0","21","1","0","0","7","0","4","2","3","0","0","65","8","0","0","0","0","0","1","0","0","9","34402","5199","0","139","14","3","1","3","31","19","31","30","2","7","9","20","2","4","18","0","12","5","68","259","68","67","13","89","23","25","27","3","2","8","4296","590","26","34","9","2","7","0","15","8","0","469","2317","3067","1075","1120","3680","557","496","669","178","268","167","3","552","167","517","4","133","9","36","2","0","5","56","262","1","88","4","28","24","34","13","90","107","576","0","284","204","250","2","42","48","2","1"
"98","8","80533","13886","30","67773","80883","5282","108","5143","5323","10250","11315","6598","83","8757","44","3","9","327","16","10","1504","62","28","68","65","24","1","0","16","157","14","1","1","89","14","1","6","374","34","21","13","46","0","178","6","6","59","7","10","6","6","3","0","380","8","33","0","0","0","4","0","0","3","0","2","0","35","1","33","0","0","11","2","4","1","1","2","2","2","1","1","1","1","7","42","42","1","0","0","0","0","0","0","0","9","30793","4619","1","138","34","0","3","32","44","39","68","62","17","5","46","44","3","11","43","0","17","6","74","199","63","126","15","82","21","64","39","2","1","0","3458","572","5","23","14","1","9","0","32","2","3","252","2062","3057","887","829","3031","584","394","358","115","252","135","11","822","114","398","2","95","3","27","3","0","1","17","245","3","57","0","39","12","26","3","45","95","475","0","273","215","99","3","41","22","1","1"
"98","9","100173","11630","5","40245","64386","4949","203","5296","6269","16519","12137","6591","53","11492","61","3","7","344","6","5","1933","62","67","71","75","30","3","4","5","106","18","1","0","61","8","0","4","339","35","13","26","46","17","292","18","5","36","2","2","3","5","4","0","285","1","69","1","0","1","4","0","1","0","2","5","0","62","8","11","0","3","12","0","4","1","2","0","2","0","3","0","1","0","2","8","22","0","0","0","0","0","0","0","0","3","24303","3564","0","117","33","0","3","5","42","21","49","36","16","0","41","33","2","11","34","0","10","10","102","226","57","28","20","30","23","53","30","2","0","1","4280","570","15","29","15","1","6","0","10","2","3","327","1953","3168","941","843","2725","444","616","457","140","325","172","5","391","221","405","0","198","9","9","2","0","3","80","152","1","26","1","32","84","24","16","55","107","490","1","221","157","113","0","33","38","6","0"
