"年別","月份","國家名稱","","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_花蓮","輪船_其他","小計"
"Years","Months","","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Hualien","Sea. Others","Subtotals"
"98","1","日本","Japan","198","66387","15","2708","172","524","2","24","0","89","70119"
"98","1","韓國","Korea","27","15477","6","516","0","1","2","16","0","12","16057"
"98","1","北韓","Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","0","0","0"
"98","1","香港","Hong Kong","82","36121","1474","6625","0","0","0","2","0","136","44440"
"98","1","中國大陸","Mainland China","6937","29619","545","3819","0","73","36","76","9","2881","43995"
"98","1","澳門","Macao","3","1775","0","317","0","0","0","0","0","10","2105"
"98","1","蒙古","Mongolia","0","75","0","5","0","0","0","0","0","0","80"
"98","1","越南","Vietnam","0","2503","240","786","0","0","0","66","0","3","3598"
"98","1","泰國","Thailand","6","3320","1","462","1","0","0","0","0","4","3794"
"98","1","馬來西亞","Malaysia","25","8937","9","797","0","0","0","1","0","27","9796"
"98","1","新加坡","Singapore","62","8753","4","671","0","1","0","4","0","27","9522"
"98","1","菲律賓","Philippines","8","3764","8","807","0","16","29","125","0","29","4786"
"98","1","汶萊","Brunei","0","47","0","12","0","0","0","0","0","0","59"
"98","1","印尼","Indonesia","10","5965","10","1015","0","4","4","211","0","128","7347"
"98","1","柬埔寨","Cambodia","0","64","0","7","0","0","0","0","0","0","71"
"98","1","寮國","Laos","0","4","0","1","0","0","0","0","0","0","5"
"98","1","帝汶","Timor","0","9","0","1","0","0","0","0","0","0","10"
"98","1","緬甸","Myanmar","0","159","0","5","0","4","5","13","0","5","191"
"98","1","索羅門群島","Solomon Islands","0","9","0","0","0","0","0","0","0","0","9"
"98","1","吐瓦魯","Tuvalu","0","0","0","0","0","0","0","0","0","0","0"
"98","1","印度","India","8","860","24","102","0","0","2","18","2","12","1028"
"98","1","巴基斯坦","Pakistan","0","34","0","4","0","0","0","0","0","1","39"
"98","1","斯里蘭卡","Sri Lanka","0","12","0","2","0","0","0","2","0","0","16"
"98","1","孟加拉","Bangladesh","0","24","0","2","0","0","0","0","0","2","28"
"98","1","尼泊爾","Nepal","0","80","0","3","0","0","0","0","0","0","83"
"98","1","不丹","Bhutan ","0","19","0","2","0","0","0","0","0","0","21"
"98","1","馬爾地夫","Maldives","0","0","0","0","0","0","0","0","0","0","0"
"98","1","塞席爾","Seychelles","0","0","0","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯","Kiribati","0","4","0","0","0","0","0","0","0","0","4"
"98","1","伊朗","Iran","1","34","0","3","0","0","0","0","0","0","38"
"98","1","伊拉克","Iraq","0","14","0","0","0","0","0","0","0","0","14"
"98","1","巴林","Bahrain","0","4","0","1","0","0","0","0","0","0","5"
"98","1","南葉門","South Yemen","0","0","0","0","0","0","0","0","0","0","0"
"98","1","沙烏地阿拉伯","Saudi Arabia","0","21","0","1","0","0","0","0","0","0","22"
"98","1","科威特","Kuwait","0","4","0","0","0","0","0","0","0","0","4"
"98","1","卡達","Qatar","0","2","0","0","0","0","0","0","0","0","2"
"98","1","阿曼","Oman","0","8","0","0","0","0","0","0","0","0","8"
"98","1","以色列","Israel","2","267","1","15","0","0","0","0","0","0","285"
"98","1","約旦","Jordan","0","27","1","1","0","0","0","0","0","0","29"
"98","1","敘利亞","Syria","0","16","0","0","0","0","0","0","0","0","16"
"98","1","黎巴嫩","Lebanon","1","16","0","0","0","0","0","0","0","0","17"
"98","1","阿拉伯聯合大公國","United Arab Emirates","0","38","0","0","0","0","0","0","0","0","38"
"98","1","葉門","Yemen","0","0","0","0","0","0","0","0","0","0","0"
"98","1","土耳其","TURKEY","3","96","0","6","0","0","0","0","0","0","105"
