"年別","月份","國家名稱","1-12歲","13-19歲","20-29歲","30-39歲","40-49歲","50-59歲","60歲以上","小計"
"Year","Month","Countries","1-12Years","13-19Years","20-29Years","30-39Years","40-49Years","50-59Years","60Years and Over","Subtotals"
"98","1","日本(Japan)","9296","6831","20840","26207","20239","14390","8079","105882"
"98","1","韓國(Korea)","4341","3043","7770","9664","7656","3792","1906","38172"
"98","1","北韓(Democratic People's Republic of Korea)","0","0","0","0","0","0","0","0"
"98","1","香港(Hong Kong)","13264","8047","24096","45417","41836","29711","12893","175264"
"98","1","中國大陸(Mainland China)","4936","2871","4727","12895","16994","13519","6522","62464"
"98","1","澳門(Macao)","3413","2186","5602","13026","13591","10732","4561","53111"
"98","1","蒙古(Mongolia)","0","0","0","0","0","0","0","0"
"98","1","越南(Vietnam)","5007","498","2958","5398","4703","4005","1563","24132"
"98","1","泰國(Thailand)","1878","1230","3114","5241","4746","3359","1817","21385"
"98","1","馬來西亞(Malaysia)","1724","964","1800","2992","3083","2141","1329","14033"
"98","1","新加坡(Singapore)","1802","1335","2205","3985","3647","2419","1443","16836"
"98","1","菲律賓(Philippines)","1219","810","1721","2734","2681","1977","1081","12223"
"98","1","汶萊(Brunei)","6","0","38","13","9","5","5","76"
"98","1","印尼(Indonesia)","2056","914","2771","4474","3028","1962","1111","16316"
"98","1","柬埔寨(Cambodia)","320","279","767","1150","1107","1126","714","5463"
"98","1","寮國(Laos)","0","0","0","0","0","0","0","0"
"98","1","帝汶(Timor)","19","8","12","70","90","68","24","291"
"98","1","緬甸(Myanmar)","120","30","71","183","239","196","112","951"
"98","1","索羅門群島(Solomon Islands)","0","0","0","0","0","0","0","0"
"98","1","吐瓦魯(Tuvalu)","0","0","0","0","0","0","0","0"
"98","1","印度(India)","53","55","139","260","247","283","147","1184"
"98","1","巴基斯坦(Pakistan)","0","0","0","0","0","0","0","0"
"98","1","斯里蘭卡(Sri Lanka)","0","0","0","0","0","0","0","0"
"98","1","孟加拉(Bangladesh)","0","0","0","0","0","0","0","0"
"98","1","尼泊爾(Nepal)","0","0","0","0","0","0","0","0"
"98","1","不丹(Bhutan )","1","20","23","30","38","45","17","174"
"98","1","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0"
"98","1","塞席爾(Seychelles)","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯(Kiribati)","0","0","0","0","0","0","0","0"
"98","1","伊朗(Iran)","0","0","0","0","0","0","0","0"
"98","1","伊拉克(Iraq)","0","0","1","1","2","1","0","5"
"98","1","巴林(Bahrain)","0","0","0","0","0","0","0","0"
"98","1","南葉門(South Yemen)","0","0","0","0","0","0","0","0"
"98","1","沙烏地阿拉伯(Saudi Arabia)","0","0","25","14","10","5","0","54"
"98","1","科威特(Kuwait)","0","0","2","3","4","1","1","11"
