"年別","月份","日本","韓國","北韓","香港","中國大陸","澳門","蒙古","越南","泰國","馬來西亞","新加坡","菲律賓","汶萊","印尼","柬埔寨","寮國","帝汶","緬甸","索羅門群島","吐瓦魯","印度","巴基斯坦","斯里蘭卡","孟加拉","尼泊爾","不丹","馬爾地夫","塞席爾","吉里巴斯","伊朗","伊拉克","巴林","南葉門","沙烏地阿拉伯","科威特","卡達","阿曼","以色列","約旦","敘利亞","黎巴嫩","阿拉伯聯合大公國","葉門","土耳其","賽普勒斯","阿富汗(觀光)","埃及","摩洛哥","阿爾及利亞","突尼西亞","利比亞","蘇丹","索馬利亞","南非","象牙海岸","奈及利亞","賴比瑞亞","幾內亞","安哥拉","剛果共和國","中非共和國","波札那","喀麥隆","查德","衣索匹亞","加彭","甘比亞","迦納","肯亞","賴索托","馬拉加西","模里西斯","馬利","馬拉威","莫三鼻克","尼日","盧安達","塞內加爾","獅子山","坦桑尼亞","烏干達","尚比亞","多哥","辛巴威","史瓦濟蘭","布吉納法索","貝南","赤道幾內亞","維德角島","吉布地","西撒哈拉","幾內亞比索","葛摩","留尼旺","聖多美及普林西比","美國","加拿大","百慕達","墨西哥","巴拿馬","巴貝多","巴哈馬","古巴","哥斯達黎加","多明尼加","瓜地馬拉","宏都拉斯","海地","牙買加","尼加拉瓜","薩爾瓦多","千里達及托貝哥","聖文森","貝里斯","格瑞那達","聖露西亞","聖克里斯多福","阿根廷","巴西","智利","委內瑞拉","玻利維亞","哥倫比亞","厄瓜多爾","巴拉圭","秘魯","烏拉圭","蘇利南","蓋亞納","澳洲","紐西蘭","裴濟","諾魯","帛琉","東加","巴布亞新幾內亞","萬那杜","馬紹爾","大溪地","密克羅尼西亞","比利時","法國","德國","義大利","荷蘭","英國","西班牙","瑞典","瑞士","挪威","丹麥","愛爾蘭","冰島","葡萄牙","芬蘭","奧地利","南斯拉夫","希臘","馬爾他","盧森堡","摩納哥","安道爾","列支敦斯登","白俄羅斯","烏克蘭","教廷","克羅埃西亞","波士尼亞","愛沙尼亞","立陶宛","拉脫維亞","馬其頓","斯洛凡尼亞","斯洛伐克","俄羅斯","東德","波蘭","捷克","匈牙利","阿爾巴尼亞","羅馬尼亞","保加利亞","摩爾多瓦","聖馬利諾"
"Year","Month","Japan","Korea","Democratic People's Republic of Korea","Hong Kong","Mainland China","Macao","Mongolia","Vietnam","Thailand","Malaysia","Singapore","Philippines","Brunei","Indonesia","Cambodia","Laos","Timor","Myanmar","Solomon Islands","Tuvalu","India","Pakistan","Sri Lanka","Bangladesh","Nepal","Bhutan ","Maldives","Seychelles","Kiribati","Iran","Iraq","Bahrain","South Yemen","Saudi Arabia","Kuwait","Qatar","Oman","Israel","Jordan","Syria","Lebanon","United Arab Emirates","Yemen","TURKEY","Cyprus","Afghanistan","Egypt","Morocco","Algeria","Tunisia","Libya
","Sudan","Somalia","S. Africa","Cote D'ivoire","Nigeria","Liberia","Guinea","Angola","Congo","Central African","Botswana","Cameroon","Chad","Ethiopia","Gabon","Gambia","Ghana","Kenya","Lesotho","Madagascar","Mauritius","Mali","Malawi","Mozambique","Niger","Rwanda","Senegal","Sierra Leone","Tanzania","Uganda","Zambia","Togolese Republic","Zimbabwe","Swaziland","Burkina Faso","Benin","Equatorial Guinea","Cape Verde","Djibouti","Saharaui","Guinea Bissau","Comoros","Reunion","Sao Tome & Principe","United States of America","Canada","Bermuda","Mexico","Panama","Barbados","Bahamas","Cuba","Costa Rica","Dominican Rep.","Guatemala","Honduras","Haiti","Jamaica","Nicaragua","El Salvador","Trinidad","Saint Vincent","Belize","Grenada","Saint Lucia","St. Christopher","Argentina","Brazil","Chile","Venezuela","Bolivia","Colombia","Ecuador","Paraguay","Peru","Uruguay","Suriname","Guyana","Australia","New Zealand","Fiji","Nauru","Palau","Tonga","Papua New Guinea","Vanuatu","Marshall","Tahiti","Micronesian","Belgium","France","Germany","Italy","Netherlands","U.K.","Spain","Sweden","Switzerland","Norway","Denmark","Ireland","Iceland","Portugal","Finland","Austria","Yugoslavia","Greece","Malta","Luxembourg","Monaco","Andorra","Liechtenstein","Belarus","Ukraine ","Holy See","Croatia","Bosnia","Estonia","Lithuania","Latvia","Macedonia","Slovenia","Slovakia","Russian Federation","German Democratic","Poland","Czech","Hungary","Albania","Romania","Bulgaria","Moldova","San Marino"
"98","1","105882","38172","0","175264","62464","53111","0","24132","21385","14033","16836","12223","76","16316","5463","0","291","951","0","0","1184","0","0","0","0","174","0","0","0","0","5","0","0","54","11","0","0","0","8","0","0","0","0","0","1","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43621","6193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9534","1","0","0","891","0","0","0","0","0","0","0","1347","3228","821","7175","3985","0","0","308","0","0","0","0","0","0","2094","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","64257","31002","0","201180","77591","64553","0","22003","14545","9251","11225","7254","0","10851","3958","0","0","708","0","0","1120","0","240","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25675","3027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8518","0","0","0","1008","0","30","0","0","0","0","0","1519","2534","584","5084","2714","0","0","0","0","0","0","0","0","0","1399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","3","80235","27854","0","177558","70080","69527","0","22079","20219","9760","10324","6463","0","13160","4320","0","64","861","0","0","779","0","204","0","0","236","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27906","4896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7095","0","0","0","1278","0","0","0","0","0","0","0","2223","3349","1233","7413","3760","0","0","0","0","0","0","0","0","0","3007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","4","96453","41274","0","209572","118464","70257","0","22118","22082","10421","10352","6420","1","12429","3204","0","1","648","0","0","739","0","0","0","0","372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29285","5006","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10611","0","0","0","689","0","0","0","0","0","0","0","2182","2411","920","8386","4514","0","0","0","0","0","0","0","0","0","3418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","5","80382","34115","0","188605","116050","55422","0","20953","21558","11674","10351","8634","0","14580","3282","0","0","1223","0","0","1170","0","0","0","0","1384","0","0","0","0","0","0","0","0","227","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29945","5280","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8299","0","0","0","874","0","0","0","0","0","0","0","2488","2682","837","7176","4702","0","0","0","0","0","0","0","0","0","3032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","6","75108","27795","0","171663","113513","52098","0","18795","17514","12101","11766","7657","0","13460","2691","0","0","940","0","0","816","0","0","0","0","492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32989","5356","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6521","0","0","0","1061","0","0","0","0","0","0","0","2054","2713","895","6052","4300","0","0","0","0","0","0","0","0","0","2790","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","7","129299","35420","0","225279","141198","68932","0","26017","21334","20322","16217","10111","2","17403","3855","0","0","898","0","0","1127","0","0","0","183","496","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","25","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35892","6448","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8474","0","0","0","1112","0","0","0","8","0","0","0","2206","2586","891","9173","5251","0","0","0","0","0","0","0","0","0","3617","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","8","130359","40131","0","236981","134944","70430","0","23563","27902","21299","15484","11544","1","16301","3897","17","0","928","0","0","1068","0","0","0","0","1032","0","0","0","0","0","0","0","239","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41465","7786","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6997","0","0","0","829","0","0","0","0","0","0","0","1988","3420","849","9809","5112","0","0","0","0","0","0","0","0","0","3346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","9","87727","23423","0","151704","155012","51663","0","17761","19527","11134","9149","6820","0","13932","2770","164","0","508","0","0","906","0","0","0","0","157","0","0","0","0","0","0","0","0","0","0","0","0","2","0","41","1","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38398","7478","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5102","0","0","0","1293","0","0","1","8","0","0","0","2109","2973","1022","6272","4856","0","0","161","0","0","0","0","0","0","3158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
