"年別","月份","國家名稱","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_蘇澳","輪船_花蓮","輪船_金門","輪船_馬祖","輪船_其他","小計"
"Years","Months","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Suao","Sea. Hualien","Sea. Kinmem","Sea. Matsu","Sea. Others","Subtotals"
"98","1","日本(Japan)","0","96243","0","9639","0","0","0","0","0","0","0","0","0","105882"
"98","1","韓國(Korea)","0","34519","302","3351","0","0","0","0","0","0","0","0","0","38172"
"98","1","北韓(Democratic People's Republic of Korea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","香港(Hong Kong)","0","138031","8113","29120","0","0","0","0","0","0","0","0","0","175264"
"98","1","中國大陸(Mainland China)","19761","40338","557","1808","0","0","0","0","0","0","0","0","0","62464"
"98","1","澳門(Macao)","0","40482","0","12629","0","0","0","0","0","0","0","0","0","53111"
"98","1","蒙古(Mongolia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","越南(Vietnam)","0","17005","1818","5309","0","0","0","0","0","0","0","0","0","24132"
"98","1","泰國(Thailand)","0","18984","0","2401","0","0","0","0","0","0","0","0","0","21385"
"98","1","馬來西亞(Malaysia)","0","12057","0","1976","0","0","0","0","0","0","0","0","0","14033"
"98","1","新加坡(Singapore)","0","15239","0","1597","0","0","0","0","0","0","0","0","0","16836"
"98","1","菲律賓(Philippines)","0","9216","0","3007","0","0","0","0","0","0","0","0","0","12223"
"98","1","汶萊(Brunei)","0","76","0","0","0","0","0","0","0","0","0","0","0","76"
"98","1","印尼(Indonesia)","0","15842","0","474","0","0","0","0","0","0","0","0","0","16316"
"98","1","柬埔寨(Cambodia)","0","5446","0","17","0","0","0","0","0","0","0","0","0","5463"
"98","1","寮國(Laos)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","帝汶(Timor)","0","291","0","0","0","0","0","0","0","0","0","0","0","291"
"98","1","緬甸(Myanmar)","0","932","0","19","0","0","0","0","0","0","0","0","0","951"
"98","1","索羅門群島(Solomon Islands)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","吐瓦魯(Tuvalu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","印度(India)","0","1166","0","18","0","0","0","0","0","0","0","0","0","1184"
"98","1","巴基斯坦(Pakistan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","斯里蘭卡(Sri Lanka)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","孟加拉(Bangladesh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","尼泊爾(Nepal)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","不丹(Bhutan )","0","174","0","0","0","0","0","0","0","0","0","0","0","174"
"98","1","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","塞席爾(Seychelles)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","吉里巴斯(Kiribati)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","伊朗(Iran)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","伊拉克(Iraq)","0","4","0","1","0","0","0","0","0","0","0","0","0","5"
"98","1","巴林(Bahrain)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","南葉門(South Yemen)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","沙烏地阿拉伯(Saudi Arabia)","0","54","0","0","0","0","0","0","0","0","0","0","0","54"
"98","1","科威特(Kuwait)","0","11","0","0","0","0","0","0","0","0","0","0","0","11"
"98","1","卡達(Qatar)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","阿曼(Oman)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","以色列(Israel)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","約旦(Jordan)","0","8","0","0","0","0","0","0","0","0","0","0","0","8"
"98","1","敘利亞(Syria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","黎巴嫩(Lebanon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","阿拉伯聯合大公國(United Arab Emirates)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","葉門(Yemen)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","土耳其(TURKEY)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","賽普勒斯(Cyprus)","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"98","1","阿富汗(觀光)(Afghanistan)","0","239","0","4","0","0","0","0","0","0","0","0","0","243"
"98","1","埃及(Egypt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","摩洛哥(Morocco)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","阿爾及利亞(Algeria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","突尼西亞(Tunisia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","利比亞(Libya
)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","蘇丹(Sudan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","索馬利亞(Somalia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","南非(S. Africa)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","象牙海岸(Cote D'ivoire)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","奈及利亞(Nigeria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","賴比瑞亞(Liberia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","幾內亞(Guinea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","安哥拉(Angola)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","剛果共和國(Congo)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","中非共和國(Central African)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","波札那(Botswana)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","喀麥隆(Cameroon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","查德(Chad)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","衣索匹亞(Ethiopia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","加彭(Gabon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","甘比亞(Gambia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","迦納(Ghana)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","肯亞(Kenya)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","賴索托(Lesotho)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬拉加西(Madagascar)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","模里西斯(Mauritius)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬利(Mali)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","馬拉威(Malawi)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","莫三鼻克(Mozambique)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","尼日(Niger)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","盧安達(Rwanda)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","塞內加爾(Senegal)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","獅子山(Sierra Leone)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","坦桑尼亞(Tanzania)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","烏干達(Uganda)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","尚比亞(Zambia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","多哥(Togolese Republic)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","辛巴威(Zimbabwe)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","史瓦濟蘭(Swaziland)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","布吉納法索(Burkina Faso)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","貝南(Benin)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","赤道幾內亞(Equatorial Guinea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","維德角島(Cape Verde)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","吉布地(Djibouti)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","西撒哈拉(Saharaui)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","幾內亞比索(Guinea Bissau)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","葛摩(Comoros)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","留尼旺(Reunion)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","聖多美及普林西比(Sao Tome & Principe)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","美國(United States of America)","0","42257","0","1364","0","0","0","0","0","0","0","0","0","43621"
"98","1","加拿大(Canada)","0","5844","0","349","0","0","0","0","0","0","0","0","0","6193"
"98","1","百慕達(Bermuda)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","墨西哥(Mexico)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴拿馬(Panama)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴貝多(Barbados)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴哈馬(Bahamas)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","古巴(Cuba)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","哥斯達黎加(Costa Rica)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","多明尼加(Dominican Rep.)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","瓜地馬拉(Guatemala)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","宏都拉斯(Honduras)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","海地(Haiti)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","牙買加(Jamaica)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","尼加拉瓜(Nicaragua)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","薩爾瓦多(El Salvador)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","千里達及托貝哥(Trinidad)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","聖文森(Saint Vincent)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","貝里斯(Belize)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","格瑞那達(Grenada)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","聖露西亞(Saint Lucia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","智利(Chile)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","委內瑞拉(Venezuela)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","玻利維亞(Bolivia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","哥倫比亞(Colombia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","厄瓜多爾(Ecuador)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","巴拉圭(Paraguay)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","秘魯(Peru)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","烏拉圭(Uruguay)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","1","蘇利南(Suriname)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
